stamp_sec,x_m,y_m,yaw_rad
633.33,8.0048814682861,5.483452477351479,1.601654017734793
633.35,8.004700471281836,5.49144856696643,1.6014807886976263
633.41,8.004220163524607,5.5154368261340485,1.6007669876182586
633.47,8.003830640176957,5.539425288320893,1.5998619905645624
633.49,8.003724786561802,5.547421415598261,1.599495955323061
633.55,8.003478953878425,5.571410165713563,1.5983486267091227
633.59,8.00336075528733,5.587402727517053,1.5974646302666067
633.63,8.003292189936774,5.603395453997258,1.5965171683207957
633.69,8.00326656361635,5.627384783835675,1.5949613125125321
633.73,8.003307279240953,5.643377837685461,1.593837138949449
633.79,8.003446080701075,5.667367690628982,1.5920330369570839
633.81,8.003513387800627,5.675364422663878,1.5914098968611825
633.87,8.003757758942115,5.699322366941957,1.589503029585496
633.93,8.004035277769788,5.722996251078426,1.5875836191198769
633.99,8.004327065159508,5.746088075021998,1.585616135405253
634.01,8.004446612600317,5.753691146034284,1.5849321867097124
634.05,8.00473481490032,5.768806311872813,1.5835451798031577
634.09,8.005010709865196,5.783657699002044,1.5822335855000074
634.13,8.005297947446445,5.798259745496223,1.5809476500547128
634.19,8.005812930403215,5.8198317586634625,1.5789497463041162
634.205,8.005959244110104,5.825206579163929,1.578450842879768
634.245,8.006284682191191,5.839225350923929,1.577234853069905
634.325,8.006938434900272,5.866604595063261,1.5750320042696264
634.345,8.007062543595197,5.873213541949332,1.574533049423453
634.405,8.007534123581545,5.893036318885541,1.5730255246969769
634.445,8.007708831118018,5.905724999075304,1.572388192126378
634.525,8.008111503757254,5.930681998626765,1.5712242358806163
634.545,8.008186008109972,5.936786788644359,1.5710211938409375
634.61,8.00829734970978,5.954732697480637,1.5707149076217912
634.645,8.008268929955548,5.966299925849141,1.5708327450828954
634.745,8.00838345146809,5.994175540679132,1.5699183754678816
634.785,8.00851193330979,6.00466776460561,1.5690693184649334
634.845,8.008780254867416,6.01966523097583,1.5673926806802272
634.865,8.00888985727912,6.0244668638693275,1.5667267077218843
634.925,8.009279156212356,6.03827926360637,1.5644091561378588
634.985,8.009778905543342,6.051433146130226,1.5610150035798438
635.045,8.010425322789043,6.064523232406902,1.5549948746711013
635.065,8.010675826719533,6.06888613936524,1.5523687962609574
635.125,8.011532682109056,6.081974686063437,1.5426293670229339
