stamp_sec,x_m,y_m,yaw_rad
64.915,-5.2738873094685115,8.00178148985733,-3.1392006603528753
64.965,-5.308730874398259,8.001696572690369,-3.139196673331413
65.005,-5.331474913645968,8.001641010692104,-3.139193927863572
65.035,-5.3484010656697585,8.001599479049299,-3.13919151211097
65.155,-5.413023389802813,8.001440512632067,-3.1391821863238345
65.215,-5.443975130205089,8.001363850711297,-3.1391769502274953
65.275,-5.474326332310719,8.001288439629306,-3.139171611862441
65.295,-5.484300253744188,8.001263731821354,-3.1391701461663595
65.355,-5.513418505902697,8.001191077606721,-3.139164753295521
65.415,-5.541832863145062,8.001119982587268,-3.1391593687172246
65.495,-5.5787959672185625,8.001027391498555,-3.139152679867188
65.555,-5.605861571065088,8.000959353331444,-3.139147571023438
65.595,-5.623499702066608,8.000915026576848,-3.139144466900174
65.635,-5.63868911348891,8.000876698881664,-3.1391415003987597
65.69,-5.664402454491507,8.000811934329498,-3.1391370317473335
65.75,-5.690085995723333,8.000746974012538,-3.1391321808023886
65.77,-5.69819497812559,8.0007266543005,-3.139131210251339
65.83,-5.722196581234661,8.000666296069157,-3.1391279189346224
65.89,-5.745395133501145,8.000608148705878,-3.139125416254181
65.93,-5.760632444385925,8.000570026101133,-3.1391240313813777
65.95,-5.768191435195545,8.000551143375608,-3.139123444291361
65.99,-5.7830035513582665,8.000514175237864,-3.139122410235726
66.03,-5.797467621802161,8.0004782681906,-3.1391219376547217
66.07,-5.811558515365228,8.000443388884527,-3.139121767912468
66.13,-5.832072238280476,8.000392825676316,-3.1391221040032966
66.19,-5.852071358062034,8.000343821077772,-3.1391231690853556
66.23,-5.865156341647316,8.000311934712895,-3.1391242930335017
66.27,-5.878034795166608,8.000280703641616,-3.139125756399352
66.33,-5.896812798618953,8.000235714062509,-3.1391292196566063
66.39,-5.9152076063324035,8.000192079018534,-3.1391335714112603
66.41,-5.9212364502079815,8.000177756446377,-3.1391348941629906
66.47,-5.938908165899514,8.000136603333463,-3.139140793539364
66.53,-5.9562548282068555,8.000170180621202,-3.1386008494357767
66.55,-5.962037045165902,8.00018397899266,-3.13785062042954
66.61,-5.977938116789126,8.00013181930029,-3.134187708378833
66.665,-5.995284647820553,7.999924006959865,-3.127515861951929
66.725,-6.01256207228977,7.999558687232471,-3.118233552510689
66.745,-6.018215945297564,7.999402295473952,-3.1147968279124054
66.81,-6.034780719687445,7.998829539649748,-3.103679004034763
66.845,-6.045491387527473,7.998361298977066,-3.095604519316589
66.89,-6.055934294125574,7.997823851186282,-3.0870103205888415
66.945,-6.071093230352771,7.996887750280858,-3.0731653606100906
67.01,-6.0856409851006426,7.995795498123136,-3.058206229055102
67.045,-6.094997358561136,7.994980444228761,-3.0476321251995953
67.145,-6.117179871123989,7.992638102862746,-3.019173379854207
67.21,-6.129653650078904,7.991023334795153,-3.000768568516431
67.265,-6.141495271897044,7.989251195462044,-2.9814158290794843
67.325,-6.152700900599214,7.987321401573817,-2.9611563175553575
67.385,-6.163267262110352,7.985233674169723,-2.940031591378867
67.41,-6.166646846697443,7.984502621354591,-2.932804951156359
67.465,-6.176356852170448,7.982203893116975,-2.910591418317283
67.525,-6.185422483221133,7.97974660785612,-2.8876096524056893
67.585,-6.193842744834633,7.977130513834902,-2.8639006298810545
67.62,-6.196506020199417,7.976223149722357,-2.855843000572139
67.665,-6.204065554622993,7.9733949383376235,-2.831226875958216
67.725,-6.210980371575786,7.9704073753278095,-2.80597623396741
67.785,-6.2172520456127405,7.967260248941231,-2.780129203253731
67.815,-6.219200066725341,7.966175713586016,-2.771387421871813
67.865,-6.224618001508775,7.962815529549587,-2.744802515746735
67.925,-6.229399454541696,7.959295339891288,-2.717705560247133
67.985,-6.233548524964661,7.955614977596873,-2.69013053536425
68.02,-6.234791831216352,7.95435256931571,-2.6808382995838
68.065,-6.23810533739845,7.950458406864402,-2.652676342355686
68.125,-6.2407828129470975,7.946430986256976,-2.62408231522206
68.185,-6.24271058494274,7.942473674070573,-2.594878852968617
68.245,-6.2438612330910335,7.938641147973467,-2.5650429043497844
68.265,-6.2440712719061615,7.9373942619511855,-2.5549596354618056
68.325,-6.244230171697293,7.933799897662073,-2.5243919490366022
68.345,-6.244230171435714,7.932744787566745,-2.5142776448990096
68.415,-6.244230170669354,7.930143832228944,-2.484424955122144
68.445,-6.244230170173562,7.928873794105535,-2.464923983967031
68.505,-6.244230169452138,7.927651662866365,-2.4362594402173086
68.565,-6.244230168756882,7.927233207293692,-2.4082834236600767
68.625,-6.244192470527498,7.927233204770503,-2.380272519657682
68.645,-6.244164349345571,7.927233204164965,-2.3707477500860596
68.705,-6.244111431927239,7.927226357272886,-2.3417767231884716
68.745,-6.244111430729202,7.927191704086679,-2.322772103134772
68.805,-6.244104683676049,7.927129403843967,-2.294911208074447
68.87,-6.243976280146953,7.927129403124416,-2.266766686847632
68.905,-6.243800354440262,7.9271294026323105,-2.247620667452901
68.995,-6.243139463152406,7.927129401488901,-2.2033907041407144
69.035,-6.242727571372601,7.927129400964758,-2.1832076462800187
