sim_s,motion_class,gt_map_x_m,gt_map_y_m,baseline_x_m,baseline_y_m,baseline_error_m,map_odom_filtered_x_m,map_odom_filtered_y_m,map_odom_filtered_yaw_rad,candidate_x_m,candidate_y_m,candidate_error_m
54.12,straight,3.810447036257429,1.642605379797206e-05,3.8250574010374017,-0.010752380646469065,0.018150205418991337,0.012439421996833308,-0.2998160722266053,0.0686215439980235,3.8141258071241055,-0.03852635452291294,0.03871794531834034
54.14,straight,3.807446959744894,1.6415914484075973e-05,3.823777158780263,-0.009386830422724582,0.018844002818217673,0.012599769101686626,-0.2993220723936742,0.06859204280798609,3.8113002076213656,-0.03835048166626184,0.03855990597977361
54.16,straight,3.8044468840220276,1.6405779024344232e-05,3.7977590028062167,-0.020617182242318673,0.021690382887153147,0.012757453644762847,-0.29882642285602756,0.0685627506682773,3.808472743663939,-0.03817203494311879,0.038400059253144526
54.18,straight,3.801446809078797,1.639564890644763e-05,3.7921883787642985,-0.02175834871261192,0.023661319149572035,0.01256958744633608,-0.2984295641652738,0.06851515937895643,3.8053043738418544,-0.03816052546803624,0.038371318870615394
54.2,straight,3.7984467349079267,1.638552367268357e-05,3.789173134402823,-0.021635723206123034,0.023554478953590887,0.012383933942198702,-0.29803376874740717,0.06846819836702445,3.802137200192664,-0.03814757775910975,0.03834198257090282
54.22,straight,3.7954466615051103,1.6375400567875722e-05,3.8045316289816147,-0.017935726303556183,0.020120004712831343,0.012200463736442463,-0.2976390172262788,0.06842185914681956,3.801965768841423,-0.03792844072807535,0.038500751051101706
54.24,straight,3.7924465888621626,1.636527986580424e-05,3.8036901763498,-0.017350236134901113,0.020688574245016106,0.012289492183454417,-0.2971917760080794,0.06837590392753536,3.798923003240318,-0.0378703637345571,0.03843628726359888
54.26,straight,3.789446516968667,1.63551632078511e-05,3.8006869657406277,-0.017162361718484707,0.020529393617358137,0.012379006770038814,-0.2967452487512717,0.06833054614865346,3.796030699096616,-0.03780055392703739,0.03838580554624171
54.28,straight,3.786446445815727,1.634505078556233e-05,3.7976649936723605,-0.016975895707047932,0.020361533880917475,0.012467014639156667,-0.2962995937237677,0.06828579594468269,3.790290316423168,-0.037927916883343786,0.03813846293405863
54.3,straight,3.783446375396693,1.633494230762322e-05,3.7748666283951895,-0.022421620838955176,0.02402236287819564,0.012553528310996482,-0.29585475763201663,0.06824164325173022,3.7873975428923674,-0.037854156226378936,0.0380760531822357
54.32,straight,3.780446305704288,1.632483768117526e-05,3.7871606584122284,-0.021505070112942413,0.02254446656958979,0.012341536533300047,-0.2954016765468278,0.06817371432187232,3.784212182688643,-0.03785864573771334,0.038061729145537966
54.34,straight,3.777446236731123,1.6314736867419722e-05,3.7860928774787728,-0.021251133345346306,0.02295797778874641,0.012389699633195026,-0.29492970971561905,0.06810668229127989,3.781283368480728,-0.03784523349536522,0.03805549125429212
54.36,straight,3.7744461684709876,1.6304639765205465e-05,3.7830790951890227,-0.0211499170274479,0.022859054297686223,0.012437002671515669,-0.2944603224378714,0.06804056695329343,3.7783516676819175,-0.03782910002135133,0.03804638718788206
54.38,straight,3.771446100915483,1.6294546580100818e-05,3.7800630201607306,-0.02104753568935187,0.022758212616268387,0.012483519979455397,-0.29399429148060274,0.06797559139523814,3.775420823084737,-0.037810318082093765,0.038034866100493975
54.4,straight,3.768446034056666,1.6284457347597272e-05,3.7770443043538964,-0.02094893069520325,0.022659887433457905,0.01252920501040019,-0.29353168931413115,0.0679117692387472,3.772488935384567,-0.03779375769785955,0.03802557480072705
54.42,straight,3.7654459678875583,1.627437213096678e-05,3.7657608104892133,-0.03851256679822255,0.03853012753410174,0.012573970812885225,-0.2930714518206474,0.06784881412293559,3.7695568456063944,-0.0377738719711356,0.03801308296185311
54.44,straight,3.7624459024011117,1.626429094057167e-05,3.7618514696811403,-0.04075487200307998,0.04077546940213163,0.012496834042775403,-0.29288366899881285,0.067789419479828,3.766503521209451,-0.03801274811597991,0.0382448696564585
54.46,straight,3.7594458375904054,1.625421378659107e-05,3.748390498315923,-0.02255259099121881,0.02513112214688018,0.012420753721289772,-0.29269980883115204,0.06773072994293028,3.763451893765143,-0.038253486861163616,0.03847884572097876
54.48,straight,3.756445773451233,1.624414189685893e-05,3.744194983669485,-0.020352570968191958,0.02376910766658186,0.012159692899352684,-0.29170196200041626,0.06752746506532631,3.7602489463182946,-0.03822247137366919,0.038427379407619575
54.5,straight,3.753445709974116,1.6234074793228605e-05,3.7411845766203116,-0.020157236335264787,0.0236072933540731,0.011901895237080549,-0.2907127149634545,0.06732689803386936,3.757048538042383,-0.03818648143008365,0.038372227483377236
54.52,straight,3.750445647148908,1.622401108497229e-05,3.7455888605435637,-0.0297549420608446,0.030164726178307354,0.011647313563137814,-0.28973173280871795,0.06712894179787882,3.753852431689437,-0.03814741285667874,0.038315393249712594
