stamp_sec,estimate_x_m,estimate_y_m,estimate_yaw_rad,truth_x_m,truth_y_m,truth_yaw_rad,xy_error_m,yaw_error_rad,sync_error_sec
253.4,-2.1426948537582287,-1.1893334269313283,0.37518156327712027,-1.675407266777306,-4.064571747361705,3.079712545782209,2.9129629397261043,2.704530982505089,0.0049999999999954525
253.7,-2.0330385712837304,-1.1536372481396808,0.3574218492138044,-1.7951712209957549,-4.057443376487178,3.08220968057393,2.913532376233616,2.7247878313601257,0.005000000000023874
254.0,-1.9375698796272065,-1.126728349269703,0.3724089516359232,-1.9169373038024613,-4.05417699727691,3.0974922406675525,2.927521356011667,2.7250832890316294,0.009999999999990905
254.3,-1.8417003483154215,-1.0933270475048487,0.40192456001478866,-2.036753440980746,-4.054804371846736,3.1181086238320845,2.967893807323553,2.716184063817296,0.009999999999990905
254.6,-1.7374759622059341,-1.0507742435062677,0.4362018619177799,-2.1486589097890665,-4.0586645340729754,3.13524285371563,3.035864854776745,2.69904099179785,0.0049999999999954525
254.9,-1.671175647576728,-0.9836023123747326,0.4465041903349535,-2.2746296866250493,-4.062545309217855,-3.137648432788801,3.1375223911636136,2.6990326840558323,0.009999999999990905
255.2,-1.5886245973961681,-0.9171478483027359,0.4470293090013706,-2.3866257777845004,-4.063471023859777,-3.1374349256798952,3.245944455616657,2.6987210724983206,0.009999999999990905
255.5,-1.5002351943916732,-0.9125076040886912,0.41546922421081195,-2.5145990760739885,-4.06070006771758,3.135427029824458,3.3075746208530723,2.719957805613646,0.009999999999990905
255.8,-1.3871685282471187,-0.8676409357795276,0.4027480104220544,-2.634540252653073,-4.0542900925239875,3.121698114134499,3.4220854850555185,2.718950103712445,0.0049999999999954525
256.1,-1.301419942260309,-0.8256804940711872,0.3934321601965967,-2.752457407598788,-4.0464867144065755,3.109240615055177,3.53257730768444,2.71580845485858,0.0
256.4,-1.2248547508778864,-0.7653789946858834,0.40464011439377295,-2.8723602407229833,-4.0392254632597355,3.101625812879893,3.6650163763431145,2.6969856984861202,0.0
256.7,-1.1545274830795027,-0.6940759177272857,0.4083766552271901,-2.9922596182113335,-4.034288221796209,3.1017223766119155,3.8123847702913753,2.6933457213847256,0.0
257.0,-1.0455030421559741,-0.6828290437879806,0.4051604213132088,-3.1101668644677627,-4.032149627403834,3.1078971835192624,3.9345628818200336,2.7027367622060536,0.0049999999999954525
257.3,-0.9360544734167048,-0.6800712362046545,0.40684332152395863,-3.2280889366577714,-4.0325696618137306,3.1181943555076646,4.061116555135557,2.711351033983706,0.009999999999990905
257.6,-0.8282286841252504,-0.6463054825828634,0.410987650565029,-3.3560396472633656,-4.034377783807882,3.128999115851064,4.22715769562592,2.718011465286035,0.009999999999990905
257.9,-0.7525187560888121,-0.5795641181534987,0.43914294650293256,-3.4680251286205817,-4.035498932029728,3.1347322113150375,4.395163284455126,2.695589264812105,0.009999999999990905
258.2,-0.6444928696320547,-0.5521650055227363,0.4367388564907371,-3.5940219324692073,-4.034816125355407,3.134951816248301,4.563833971015243,2.698212959757564,0.0049999999999954525
258.5,-0.5366345521976956,-0.48123889559732796,0.45329362264453343,-3.7060117278312816,-4.032230817540892,3.1303835172956047,4.7596738660475015,2.677089894651071,0.014999999999986358
